latitude,longitude,objectid,ra_romano,ra_nome,renda_media_mensal,renda_media_mensal_percap,ra_codigo,grupo,st_area(geom),st_perimeter(geom),
null,null,1,XVI,Lago Sul,18950.96,5756.38,16,Grupo 1,74794768.5017085,89464.56760446331,
null,null,2,XVIII,Lago Norte,14084.57,4864.87,18,Grupo 1,53688295.889881074,107393.36680624344,
null,null,3,I,Brasília,10484.55,3648.89,1,Grupo 2,149037189.20866212,146189.60661824522,
null,null,4,X,Guará,6016.32,1850.35,10,Grupo 3,23284402.665725403,31709.230949650653,
null,null,5,III,Taguatinga,4427.16,1310.86,3,Grupo 4,25276881.5154341,55135.199005220806,
null,null,6,V,Sobradinho I,4872.95,1455.34,5,Grupo 4,19828445.391653474,33063.83534988202,
null,null,7,VIII,Núcleo Bandeirante,4544.85,1388.09,8,Grupo 4,14898988.33826068,35631.58381365514,
null,null,8,II,Gama,3604.08,1015.77,2,Grupo 5,27173509.989375487,41446.40320991288,
null,null,9,VI,Planaltina,2308.51,634.35,6,Grupo 6,55884732.357870236,50382.29139435287,
null,null,10,VII,Paranoá,1957.86,487.55,7,Grupo 6,38055448.073571965,43310.811890788915,
null,null,11,IX,Ceilândia,2351.83,642.69,9,Grupo 6,44680533.10634697,44043.62307330509,
null,null,12,XII,Samambaia,2158.99,577.67,12,Grupo 6,38888354.69188513,56253.42721701109,
null,null,13,XIII,Santa Maria,2483.73,658.97,13,Grupo 6,33200620.28151178,51263.00095284702,
null,null,14,XIV,São Sebastião,1877.41,501.47,14,Grupo 6,26451898.784577042,65860.03703294415,
null,null,15,XV,Recanto das Emas,1914.18,491.12,15,Grupo 6,31923347.66410566,70389.91293639723,
null,null,16,XX,Águas Claras,7979.76,2375.7,20,Grupo 2,24299979.044895794,30248.467451565542,
null,null,17,XXIV,Park Way,12809.28,3656.21,24,Grupo 2,51230957.134116486,54666.265336685276,
null,null,18,XXVII,Jardim Botânico,11817.42,3449.62,27,Grupo 2,261160884.72072566,172095.8541954712,
null,null,19,XXVI,Sobradinho II,4858.82,1330.25,26,Grupo 4,37737815.70088782,56827.57744805864,
null,null,20,XIX,Candangolândia,4066.56,1064.08,19,Grupo 5,6601864.41159533,11012.005644130873,
null,null,21,XXI,Riacho Fundo II,2156.37,563.31,21,Grupo 6,8182972.073514214,38224.003036239585,
null,null,22,XXIII,Varjão,1575.83,424.65,23,Grupo 7,2053893.1301408014,9802.613931649148,
null,null,23,XXV,Estrutural - SCIA,1263.01,306.42,25,Grupo 7,6413431.517785905,13839.059911696997,
null,null,24,XXXI,Fercal,0,0,31,null,11318995.569587225,19540.983069741484,
null,null,25,XXII,Sudoeste/ Octogonal,11963.81,4727.42,22,Grupo 1,6464317.795447433,13703.94102294069,
null,null,26,XI,Cruzeiro,6580.22,2021.16,11,Grupo 3,3192840.6167689147,8229.372820050505,
null,null,27,XXX,Vicente Pires,6327.82,1707.94,30,Grupo 3,30269689.58903817,24714.202681507675,
null,null,28,XVII,Riacho Fundo I,3271.14,850.72,17,Grupo 5,6069182.9323983295,18403.111741598736,
null,null,29,XXIX,SIA,2736.8,827.94,29,Grupo 5,29045282.470901985,31325.687154453808,
null,null,30,IV,Brazlândia,2443.12,642.21,4,Grupo 6,6957509.859921251,13560.929989575794,
null,null,31,XXVIII,Itapoã,1358.96,343.8,28,Grupo 7,12952288.088942425,23032.604163876793,